,ID,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AGE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,CODE_GENDER_M,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_Y
93,5008903,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
94,5008904,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
95,5008905,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
96,5008906,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
97,5008907,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
98,5008908,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
99,5008909,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
100,5008910,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
101,5008911,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
102,5008912,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
103,5008913,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
104,5008914,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
105,5008915,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
106,5008916,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
107,5008917,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
108,5008918,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
109,5008919,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
110,5008920,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
111,5008921,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
112,5008922,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
113,5008923,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
114,5008924,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
115,5008925,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
116,5008926,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
117,5008927,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
118,5008928,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
119,5008929,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
120,5008930,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
121,5008931,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
122,5008932,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
123,5008933,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
124,5008934,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
125,5008935,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
126,5008936,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
127,5008937,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
128,5008938,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
129,5008939,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
130,5008940,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
131,5008941,0,297000.0,0,4,3,4,43,0,0,0,8,1,0,0,0,1
135,5008942,0,157500.0,0,1,1,1,37,0,1,0,6,2,1,0,0,0
136,5008943,0,157500.0,0,1,1,1,37,0,1,0,6,2,0,0,0,0
137,5008944,0,157500.0,0,1,1,1,37,0,1,0,6,2,1,0,0,0
138,5008945,0,157500.0,0,1,1,1,37,0,1,0,6,2,1,0,0,0
139,5008946,0,157500.0,0,1,1,1,37,0,1,0,6,2,1,0,0,0
140,5008947,0,135000.0,4,4,1,1,42,1,1,0,4,2,0,1,0,1
141,5008948,0,135000.0,4,4,1,1,42,1,1,0,4,2,0,1,0,1
142,5008949,0,135000.0,4,4,1,1,42,1,1,0,4,2,0,1,0,1
143,5008950,0,135000.0,4,4,1,1,42,1,1,0,4,2,0,1,0,1
144,5008951,1,225000.0,4,4,1,1,28,0,0,0,18,3,0,1,0,1
145,5008952,1,225000.0,4,4,1,1,28,0,0,0,18,3,0,1,0,1
146,5008953,1,225000.0,4,4,1,1,28,0,0,0,18,3,0,1,0,1
147,5008954,1,225000.0,4,4,1,1,28,0,0,0,18,3,0,1,0,1
148,5008955,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
149,5008956,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
150,5008957,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
151,5008958,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
152,5008959,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
153,5008960,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
154,5008962,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
155,5008963,0,135000.0,4,4,1,1,49,0,0,0,8,2,0,0,1,1
156,5008966,0,157500.0,4,4,1,1,44,0,1,0,18,2,0,1,0,1
157,5008967,0,157500.0,4,4,1,1,44,0,1,0,18,2,0,1,0,1
158,5008971,0,157500.0,4,4,1,1,44,0,1,0,18,2,0,1,0,1
159,5008973,0,157500.0,4,4,1,1,44,0,1,0,18,2,0,1,0,1
160,5008974,0,112500.0,1,4,1,1,61,0,0,0,18,2,0,0,0,1
161,5008975,0,112500.0,1,4,1,1,61,0,0,0,18,2,1,0,0,1
162,5008976,0,112500.0,1,4,1,1,61,0,0,0,18,2,0,0,0,1
163,5008977,0,112500.0,1,4,1,1,61,0,0,0,18,2,0,0,0,1
164,5008978,0,112500.0,1,4,1,1,61,0,0,0,18,2,1,0,0,1
165,5008979,0,112500.0,1,4,1,1,61,0,0,0,18,2,0,0,0,1
166,5008980,0,112500.0,1,4,1,1,61,0,0,0,18,2,0,0,0,1
167,5008981,0,112500.0,2,4,1,1,57,0,1,0,4,2,0,1,1,1
168,5008983,0,112500.0,2,4,1,1,57,0,1,0,4,2,0,1,1,1
169,5008984,0,112500.0,2,4,1,1,57,0,1,0,4,2,0,1,1,1
170,5008986,0,112500.0,2,4,1,1,57,0,1,0,4,2,0,1,1,1
171,5008987,0,112500.0,2,4,1,1,57,0,1,0,4,2,0,1,1,1
172,5008988,0,112500.0,2,4,1,1,57,0,1,0,4,2,0,1,1,1
174,5008991,0,270000.0,4,4,2,1,45,1,1,0,1,1,0,0,1,1
175,5008992,0,270000.0,4,4,2,1,45,1,1,0,1,1,0,0,1,1
176,5008993,0,270000.0,4,4,2,1,45,1,1,0,1,1,0,0,1,1
177,5008994,0,270000.0,4,4,2,1,45,1,1,0,1,1,0,0,1,1
178,5008995,0,270000.0,4,4,2,1,45,1,1,0,1,1,0,0,1,1
179,5112861,0,270000.0,4,4,2,1,45,1,1,0,1,1,0,0,1,1
181,5008998,0,270000.0,4,1,1,1,29,0,0,1,10,2,0,0,1,1
182,5008999,0,270000.0,4,1,1,1,29,0,0,1,10,2,0,0,1,1
183,5009000,0,157500.0,4,4,1,1,27,0,0,0,4,2,0,1,1,1
185,5009001,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
186,5009002,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
187,5009005,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
188,5009006,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
189,5009007,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
190,5009008,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
191,5009009,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
192,5009010,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
193,5009012,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
194,5009014,0,166500.0,4,4,1,1,52,1,1,0,8,2,0,1,0,1
199,5009016,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
200,5009018,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
201,5009019,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
202,5009020,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
203,5009022,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
204,5009023,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
205,5009024,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
206,5009025,2,216000.0,2,1,1,1,42,0,0,1,18,4,0,0,0,1
209,5009027,0,270000.0,0,4,1,1,54,0,0,1,8,2,0,0,1,1
210,5112862,0,270000.0,0,4,1,1,54,0,0,1,8,2,0,0,1,1
211,5009028,0,225000.0,0,4,1,1,40,0,0,0,8,2,0,0,1,1
212,5009029,0,225000.0,0,4,1,1,40,0,0,0,8,2,0,0,1,1
213,5009031,0,315000.0,4,4,3,1,29,0,0,0,0,1,0,0,0,1
214,5009032,0,315000.0,4,4,3,1,29,0,0,0,0,1,0,0,0,1
216,5009033,0,255150.0,1,2,0,4,51,0,0,0,18,2,0,0,0,0
217,5009034,0,255150.0,1,2,0,4,51,0,0,0,18,2,0,0,0,0
218,5009035,0,255150.0,1,2,0,4,51,0,0,0,18,2,0,0,0,0
219,5009036,0,255150.0,1,2,0,4,51,0,0,0,18,2,0,0,0,0
220,5009037,0,255150.0,1,2,0,4,51,0,0,0,18,2,0,0,0,0
221,5009038,0,255150.0,1,2,0,4,51,0,0,0,18,2,0,0,0,0
222,5009039,2,157500.0,4,4,3,1,39,0,0,0,3,3,0,0,0,1
223,5009040,2,157500.0,4,4,3,1,39,0,0,0,3,3,0,0,0,1
224,5009042,0,148500.0,4,1,1,1,48,0,0,0,3,2,0,0,0,1
225,5009043,0,148500.0,4,1,1,1,48,0,0,0,3,2,0,0,0,1
226,5009044,0,148500.0,4,1,1,1,48,0,0,0,3,2,0,0,0,1
227,5009045,0,148500.0,4,1,1,1,48,0,0,0,3,2,0,0,0,1
228,5009046,0,148500.0,4,1,1,1,48,0,0,0,3,2,0,0,0,1
229,5009047,0,148500.0,4,1,1,1,48,0,0,0,3,2,0,0,0,1
231,5009050,2,202500.0,4,1,1,1,30,0,0,1,3,4,0,0,0,1
232,5009051,2,202500.0,4,1,1,1,30,0,0,1,3,4,0,0,0,1
233,5009052,2,202500.0,4,1,1,1,30,0,0,1,3,4,0,0,0,1
234,5009053,2,202500.0,4,1,1,1,30,0,0,1,3,4,0,0,0,1
235,5009055,2,202500.0,4,1,1,1,30,0,0,1,3,4,0,0,0,1
236,5009056,0,202500.0,4,4,3,1,24,1,0,0,4,1,0,1,0,1
237,5009057,0,202500.0,4,4,3,1,24,1,0,0,4,1,0,1,0,1
238,5009058,0,112500.0,0,4,3,1,21,0,1,1,12,1,0,0,1,1
239,5009060,0,94500.0,1,1,1,1,61,0,1,0,18,2,0,0,0,1
240,5009062,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
241,5009063,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
242,5009064,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
243,5009065,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
244,5009066,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
245,5009067,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
246,5009068,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
247,5009069,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
248,5009070,0,315000.0,4,4,0,1,29,0,0,0,14,2,0,1,1,1
249,5009071,0,270000.0,0,2,0,2,28,0,1,1,6,2,0,0,1,1
250,5009072,0,270000.0,0,2,0,2,28,0,1,1,6,2,0,0,1,1
252,5009074,1,450000.0,2,1,1,1,49,0,1,1,3,3,0,0,1,1
253,5009075,1,450000.0,2,1,1,1,49,0,1,1,3,3,0,0,1,1
254,5009078,1,180000.0,4,4,1,5,39,0,0,0,4,3,0,1,0,1
255,5009079,0,112500.0,4,1,0,1,28,0,0,1,8,2,0,0,0,1
256,5009080,0,112500.0,4,1,0,1,28,0,0,1,8,2,1,0,0,1
257,5009081,0,112500.0,4,1,0,1,28,0,0,1,8,2,0,0,0,1
258,5009083,0,90000.0,4,4,1,1,56,0,0,0,4,2,0,1,0,1
259,5009084,0,90000.0,4,4,1,1,56,0,0,0,4,2,0,1,0,1
262,5009088,2,202500.0,0,1,1,1,40,0,0,0,8,4,0,1,1,0
263,5009089,2,202500.0,0,1,1,1,40,0,0,0,8,4,0,1,1,0
266,5009090,0,247500.0,4,4,1,1,35,0,0,0,4,2,0,1,1,1
267,5009092,1,765000.0,4,1,1,1,33,1,0,0,10,3,1,1,1,1
268,5009094,1,765000.0,4,1,1,1,33,1,0,0,10,3,0,1,1,1
269,5009095,1,765000.0,4,1,1,1,33,1,0,0,10,3,0,1,1,1
271,5009096,1,270000.0,0,4,1,1,37,0,0,1,0,3,0,0,0,1
272,5009097,1,270000.0,0,4,1,1,37,0,0,1,0,3,0,0,0,1
273,5009098,1,270000.0,0,4,1,1,37,0,0,1,0,3,0,0,0,1
274,5009099,0,315000.0,4,1,2,1,36,0,0,0,10,1,0,0,0,1
275,5009100,0,315000.0,4,1,2,1,36,0,0,0,10,1,0,0,0,1
276,5009103,2,157500.0,4,4,1,5,35,0,1,0,4,4,0,1,1,1
277,5009104,2,157500.0,4,4,1,5,35,0,1,0,4,4,0,1,1,1
278,5009105,2,157500.0,4,4,1,5,35,0,1,0,4,4,0,1,1,1
279,5009106,2,157500.0,4,4,1,5,35,0,1,0,4,4,0,1,1,1
280,5112876,2,157500.0,4,4,1,5,35,0,1,0,4,4,0,1,1,1
281,5009108,0,360000.0,0,4,1,1,42,0,0,0,16,2,0,1,0,1
282,5009109,0,360000.0,0,4,1,1,42,0,0,0,16,2,0,1,0,1
283,5009110,0,112500.0,0,1,1,1,24,0,0,1,6,2,0,0,0,1
284,5009116,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
285,5009117,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
286,5009118,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
287,5009120,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
288,5009122,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
289,5009123,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
290,5009124,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
291,5009125,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
292,5009126,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
293,5009127,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
294,5009128,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
295,5009129,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
296,5009130,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
297,5009131,0,157500.0,0,1,2,5,43,0,0,0,18,1,0,0,0,0
299,5009133,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
300,5009134,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
301,5009135,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
302,5009136,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
303,5009137,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
304,5009138,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
305,5009139,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
306,5009140,0,382500.0,1,4,4,1,59,0,0,0,18,1,0,1,0,1
307,5009141,0,135000.0,4,4,0,1,26,1,1,0,10,2,0,0,0,0
308,5009142,0,135000.0,4,4,0,1,26,1,1,0,10,2,0,0,0,0
309,5009143,0,225000.0,1,4,0,1,50,0,0,0,18,2,0,1,1,0
310,5009144,0,225000.0,1,4,0,1,50,0,0,0,18,2,0,1,1,0
311,5009145,0,315000.0,4,1,1,1,43,1,1,0,10,2,0,1,1,0
312,5009146,0,315000.0,4,1,1,1,43,1,1,0,10,2,0,1,1,0
313,5009147,0,315000.0,4,1,1,1,43,1,1,0,10,2,0,1,1,0
314,5009149,0,315000.0,4,1,1,1,43,1,1,0,10,2,0,1,1,0
315,5009150,0,315000.0,4,1,1,1,43,1,1,0,10,2,0,1,1,0
318,5009151,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
319,5009152,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
320,5009153,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
321,5009154,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
322,5009155,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
323,5009156,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
324,5009157,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
325,5009158,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
326,5009159,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
327,5009160,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
328,5009161,0,180000.0,4,4,1,1,54,0,0,0,14,2,1,0,0,0
329,5009162,0,180000.0,4,4,1,1,54,0,0,0,14,2,0,0,0,0
330,5009163,0,157500.0,4,4,1,1,35,0,1,0,14,2,0,0,0,0
331,5009164,0,157500.0,4,4,1,1,35,0,1,0,14,2,0,0,0,0
332,5009165,0,157500.0,4,4,1,1,35,0,1,0,14,2,0,0,0,0
333,5009166,0,157500.0,4,4,1,1,35,0,1,0,14,2,0,0,0,0
334,5009168,0,157500.0,4,4,1,1,35,0,1,0,14,2,0,0,0,0
336,5009170,0,144000.0,1,4,1,1,63,0,1,1,18,2,0,0,1,0
337,5009177,0,229500.0,4,2,1,0,50,0,0,0,8,2,0,1,1,0
338,5009178,0,229500.0,4,2,1,0,50,0,0,0,8,2,0,1,1,0
339,5009179,0,229500.0,4,2,1,0,50,0,0,0,8,2,0,1,1,0
340,5009180,0,229500.0,4,2,1,0,50,0,0,0,8,2,0,1,1,0
341,5009181,0,229500.0,4,2,1,0,50,0,0,0,8,2,0,1,1,0
342,5009182,0,229500.0,4,2,1,0,50,0,0,0,8,2,0,1,1,0
343,5009183,0,229500.0,4,2,1,0,50,0,0,0,8,2,0,1,1,0
345,5009186,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
346,5009187,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
347,5009188,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
348,5009189,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
349,5009190,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
350,5009191,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
351,5009192,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
352,5009193,0,270000.0,4,1,1,1,48,1,1,0,10,2,0,0,0,0
353,5009195,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
354,5009196,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
355,5009198,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
356,5009201,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
357,5009202,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
358,5009203,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
359,5009204,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
360,5009205,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
361,5009206,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
362,5009207,0,292500.0,2,4,1,1,57,1,1,0,0,2,0,0,0,0
